需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2020/4/7,0:00,646.4,,640.7,0.9,4.6,0,0,0.2,0,646.4
2020/4/7,1:00,624.3,,618.7,0.8,4.6,0,0,0.2,0,624.3
2020/4/7,2:00,644.9,,639.3,0.8,4.6,0,0,0.2,0,644.9
2020/4/7,3:00,677.2,,671.4,0.8,4.6,0,0,0.4,0,677.2
2020/4/7,4:00,688.7,,682.7,0.8,4.6,0,0,0.6,0,688.7
2020/4/7,5:00,672.4,,666.3,0.8,4.6,0,0,0.7,0,672.4
2020/4/7,6:00,679,,671.4,0.9,4.6,0.9,0,1.2,0,679
2020/4/7,7:00,737.2,,725.5,0.9,4.6,4.1,0,2.1,0,737.2
2020/4/7,8:00,793.4,,777.2,0.9,4.9,7.6,0,2.8,0,793.4
2020/4/7,9:00,832.7,,809.4,0.9,4.8,14.3,0,3.3,0,832.7
2020/4/7,10:00,837.8,,815.9,0.9,4.8,12.4,0,3.8,0,837.8
2020/4/7,11:00,832.2,,808.1,0.9,4.8,13.8,0,4.6,0,832.2
2020/4/7,12:00,799.7,,765.4,0.9,4.8,22.6,0,6,0,799.7
2020/4/7,13:00,817,,771.2,0.9,4.8,36.1,0,4,0,817
2020/4/7,14:00,817.5,,786.3,0.9,4.8,23,0,2.5,0,817.5
2020/4/7,15:00,805.4,,764.7,0.9,4.8,33.3,0,1.7,0,805.4
2020/4/7,16:00,820.2,,777.3,0.9,4.9,35.4,0,1.7,0,820.2
2020/4/7,17:00,822.9,,805.2,0.9,5,10.4,0,1.4,0,822.9
2020/4/7,18:00,856.6,,847.2,0.9,5,2.4,0,1.1,0,856.6
2020/4/7,19:00,864.6,,857.7,0.9,4.9,0,0,1.1,0,864.6
2020/4/7,20:00,834.5,,827.2,0.9,4.6,0,0,1.8,0,834.5
2020/4/7,21:00,784.9,,775.3,0.9,4.7,0,0,4,0,784.9
2020/4/7,22:00,725,,716.4,0.9,4.6,0,0,3.1,0,725
2020/4/7,23:00,665.9,,657.8,0.9,4.6,0,0,2.6,0,665.9
2020/4/17,0:00,595.4,,589.8,0.8,4.8,0,0,0,0,595.4
2020/4/17,1:00,578.4,,572.7,0.8,4.8,0,0,0.1,0,578.4
2020/4/17,2:00,596.8,,591.1,0.8,4.9,0,0,0,0,596.8
2020/4/17,3:00,630.9,,625.3,0.8,4.8,0,0,0,0,630.9
2020/4/17,4:00,636.5,,630.8,0.8,4.8,0,0,0.1,0,636.5
2020/4/17,5:00,622.8,,617.1,0.8,4.9,0,0,0,0,622.8
2020/4/17,6:00,611.8,,601.8,0.9,4.8,4.2,0,0.1,0,611.8
2020/4/17,7:00,653.4,,601.7,0.9,4.8,45.5,0,0.5,0,653.4
2020/4/17,8:00,723.5,,601.8,0.9,5.1,114.4,0,1.3,0,723.5
2020/4/17,9:00,768.6,,585.6,0.9,5.1,175.1,0,1.9,0,768.6
2020/4/17,10:00,798.2,,569.4,0.9,5.1,221.3,0,1.5,0,798.2
2020/4/17,11:00,826.9,,569.9,0.9,5,248.8,0,2.3,0,826.9
2020/4/17,12:00,819.6,,544.9,0.9,5,265.9,0,2.9,0,819.6
2020/4/17,13:00,839.7,,569.9,0.9,5,261.2,0,2.7,0,839.7
2020/4/17,14:00,831.3,,588.2,0.9,5.1,233.8,0,3.3,0,831.3
2020/4/17,15:00,819.4,,618,0.9,5,191.3,0,4.2,0,819.4
2020/4/17,16:00,817.6,,673,0.9,5.1,133.4,0,5.2,0,817.6
2020/4/17,17:00,803.7,,730.7,0.9,5.2,62.4,0,4.5,0,803.7
2020/4/17,18:00,807.1,,789.7,0.9,5.2,8.1,0,3.2,0,807.1
2020/4/17,19:00,838.4,,830.2,0.9,5.1,0,0,2.2,0,838.4
2020/4/17,20:00,802.6,,794.9,0.8,4.8,0,0,2.1,0,802.6
2020/4/17,21:00,757.8,,748.9,0.8,4.9,0,0,3.2,0,757.8
2020/4/17,22:00,708.1,,699.6,0.9,4.9,0,0,2.7,0,708.1
2020/4/17,23:00,662.1,,654.8,0.9,4.8,0,0,1.6,0,662.1
2020/6/3,0:00,858.1,,850,0.9,3.7,0,0,3.5,0,858.1
2020/6/3,1:00,807.4,,799,0.9,3.7,0,0,3.8,0,807.4
2020/6/3,2:00,801.4,,792.8,0.9,3.7,0,0,4,0,801.4
2020/6/3,3:00,808.3,,799,0.9,3.7,0,0,4.7,0,808.3
2020/6/3,4:00,811.4,,802.1,0.9,3.7,0,0,4.7,0,811.4
2020/6/3,5:00,816.2,,806.5,0.9,3.7,0,0,5.1,0,816.2
2020/6/3,6:00,838,,817.1,0.9,3.7,10.5,0,5.8,0,838
2020/6/3,7:00,950.4,,881.8,0.9,3.7,58,0,6,0,950.4
2020/6/3,8:00,1121.9,,995.3,0.9,4,116.2,0,5.5,0,1121.9
2020/6/3,9:00,1237.2,,1064.4,0.9,4,162.2,0,5.7,0,1237.2
2020/6/3,10:00,1277.6,,1061.1,0.9,4,205.7,0,5.9,0,1277.6
2020/6/3,11:00,1311.8,,1062.9,0.9,4,238.2,0,5.8,0,1311.8
2020/6/3,12:00,1294.1,,1033.9,0.9,4,250.1,0,5.2,0,1294.1
2020/6/3,13:00,1307.6,,1053,0.9,4,245.5,0,4.2,0,1307.6
2020/6/3,14:00,1312.8,,1082,0.9,4,222.2,0,3.7,0,1312.8
2020/6/3,15:00,1313.5,,1120.4,0.9,4,185,0,3.2,0,1313.5
2020/6/3,16:00,1305.9,,1162.3,0.9,4,134.9,0,3.8,0,1305.9
2020/6/3,17:00,1265.1,,1182,0.9,4,74.9,0,3.3,0,1265.1
2020/6/3,18:00,1226.2,,1201.2,0.9,4,17.5,0,2.6,0,1226.2
2020/6/3,19:00,1229.5,,1222.5,0.9,4,0.4,0,1.7,0,1229.5
2020/6/3,20:00,1204.4,,1198.5,0.9,3.7,0,0,1.3,0,1204.4
2020/6/3,21:00,1142.6,,1136.7,0.9,3.7,0,0,1.3,0,1142.6
2020/6/3,22:00,1059.5,,1052.4,0.9,3.7,0,0,2.5,0,1059.5
2020/6/3,23:00,975,,967.1,0.9,3.7,0,0,3.3,0,975
2020/6/7,0:00,879,,872.2,0.9,3.7,0,0,2.2,0,879
2020/6/7,1:00,827.3,,820.2,0.9,3.7,0,0,2.5,0,827.3
2020/6/7,2:00,821.3,,813.8,0.9,3.7,0,0,2.9,0,821.3
2020/6/7,3:00,825.3,,817.8,0.9,3.7,0,0,2.9,0,825.3
2020/6/7,4:00,819,,811.2,0.9,3.7,0,0,3.2,0,819
2020/6/7,5:00,809.8,,802.1,0.9,3.7,0,0,3.1,0,809.8
2020/6/7,6:00,783.4,,771.8,0.9,3.7,3.2,0,3.8,0,783.4
2020/6/7,7:00,838.1,,807.5,0.9,3.7,22.3,0,3.7,0,838.1
2020/6/7,8:00,897.4,,863.7,0.9,4,24.5,0,4.3,0,897.4
2020/6/7,9:00,992.3,,961.8,0.9,4,21.8,0,3.8,0,992.3
